STD_YM|STD_YMD|HDONG_CD|HDONG_NM|MAN_FLOW_POP_CNT_0004|MAN_FLOW_POP_CNT_0509|MAN_FLOW_POP_CNT_1014|MAN_FLOW_POP_CNT_1519|MAN_FLOW_POP_CNT_2024|MAN_FLOW_POP_CNT_2529|MAN_FLOW_POP_CNT_3034|MAN_FLOW_POP_CNT_3539|MAN_FLOW_POP_CNT_4044|MAN_FLOW_POP_CNT_4549|MAN_FLOW_POP_CNT_5054|MAN_FLOW_POP_CNT_5559|MAN_FLOW_POP_CNT_6064|MAN_FLOW_POP_CNT_6569|MAN_FLOW_POP_CNT_70U|WMAN_FLOW_POP_CNT_0004|WMAN_FLOW_POP_CNT_0509|WMAN_FLOW_POP_CNT_1014|WMAN_FLOW_POP_CNT_1519|WMAN_FLOW_POP_CNT_2024|WMAN_FLOW_POP_CNT_2529|WMAN_FLOW_POP_CNT_3034|WMAN_FLOW_POP_CNT_3539|WMAN_FLOW_POP_CNT_4044|WMAN_FLOW_POP_CNT_4549|WMAN_FLOW_POP_CNT_5054|WMAN_FLOW_POP_CNT_5559|WMAN_FLOW_POP_CNT_6064|WMAN_FLOW_POP_CNT_6569|WMAN_FLOW_POP_CNT_70U
202002|20200201|1114052000|소공동|0|88.95|376.68|1077.03|3602.41|6660.39|6519.52|5675.54|5063.35|5992.92|6207.66000000001|5997.45|6356.51|4740.35|5766.2|0|73.7800000000001|433.73|1408.06|4999.85|6961.02|5115.24|4164.47|3927.93|4058.47|3932.39|3650.7|3361.05|2440.61|2665.43
202002|20200202|1114052000|소공동|0|51.03|271.96|871.27|2824.97|5031.63|4626.14|3975.63|3455.81|4218.84|4473.19|4183.04|4278.93|3182.24|3567.28|0|55.15|327.72|1231.75|3807.14|4702.91|3698.04|2922.33|2781.63|2947.01|2632.34|2669.56|2399.9|1704.22|2026.77
202002|20200203|1114052000|소공동|0|32.47|136.94|826.26|3580.23|8823.11|11803.45|14934.31|14823.99|16430.05|14201.85|10908.99|9628.67|6658.04|7411.35000000001|0|35.09|155.99|1166.65|6301.35|11109.59|10754.75|9655.00999999999|9018.58|8786.59|7257.35|5710.55|4934.99999999999|3070.67|3349.99
202002|20200204|1114052000|소공동|0|27.34|154.75|823.69|3510.75|9361.85|12127.55|15650.18|15484.99|16854.01|14653.71|11550.17|9567.69|6884.62|7319.09|0|40.41|193.2|1148.8|6345.13999999999|11771.06|11467.86|9834.22000000001|9323.74000000001|8982.67|7448.09|5938.57|4948.1|3091.3|3494.91
202002|20200205|1114052000|소공동|0|26.3|177.28|809.21|3579.35|9631.84999999999|12378.43|15876.88|15624.94|16730.33|14462.22|11456.97|9360.22|6709.08|6951.99|0|36.44|172.2|1285.73|6587.78|11876.4|11285.83|9972.17|9299.51999999999|8976.54999999999|7183.79|5719.89|4822.39|2960.73|3204.18
202002|20200206|1114052000|소공동|0|38.91|182.53|918.56|3663.6|9357.28|12017.88|15738.48|15356.19|16779.94|14735.6|11568.91|9770.15|6895.88|7160.47|0|46.46|311.2|1576.57|6524|11777.93|11207.34|9949.04000000001|9008.22|9065.19|7426.58|5733.84000000001|4689.82|2890.73|2966.71
202002|20200207|1114052000|소공동|0|29.47|249.2|1047.53|3946.62|9780.39|12538.03|15381.39|15115.51|16357.12|14231.23|11407.08|9785.8|6804.26|7219.02|0|70.26|308.23|1730.8|6519.67|11886.13|11288.96|9795.06|9191.72000000001|8868.19|7313.02|5847.87|4682.5|2958.09|3215.73
202002|20200208|1114052000|소공동|0|45.7800000000001|292.23|816.360000000001|3155.46|6471.41|6358.59|5405.82|4823.02|5558.11|5907.35|5836.43|6108.25|4184.45|5293.82|0|78.2000000000001|353.41|1299.14|4495.77|6595.13|4858.7|3749.84|3243.25|3548.23|3352.29|3265.44|2874.49|2026.03|2323.61
202002|20200209|1114052000|소공동|0|74.6000000000001|253.67|784.840000000001|2586.36|4735.09|4523.68|3774.18|3479.41|4117.9|4381.52|4063.67|3981.42|2932.14|3410.96|0|55.92|288.02|1081.95|3585.49|4579.04|3437.96|2753.77|2351.38|2731.51|2467.33|2284.17|2169.25|1446.44|1693.64
202002|20200210|1114052000|소공동|0|45.33|177.75|852.54|3797.51|9340.14|11758.19|14847.45|14667.84|16405.94|13736.68|11214.02|9234.64|6619.87|7432.27|0|45.25|343.11|1552.75|6849.38|11539.85|10833.5|9559.75999999999|8999.39|8739.38|7108.89|5741.18|4767.19|2989.88|3291.52
202002|20200211|1114052000|소공동|0|52.21|196.28|933.319999999999|3769.74|9481.37|12125.2|15629.19|15259.11|16722.34|14790.35|11455.4|9785.77000000001|7177.02|7541.67000000001|0|29.02|327.18|1667.38|6746.98|11754.8|11234.68|10065.71|9173.31|9079.61|7375.46|6034.92|4865.93|3124.58|3603.54
202002|20200212|1114052000|소공동|0|25.45|218.44|832.44|3554.37|9497.02999999999|12005.23|15643.34|15340.03|16306.9|14382.94|11495.25|9316.98000000001|6512.86000000001|6881.81|0|23.88|352.07|1547.04|6548.62|11892.6|11292.55|9940.01000000001|9046.05|8824.17000000001|7281.89|5713.04|4808.38|2954.8|3161.17
202002|20200213|1114052000|소공동|0|48.91|213.31|973.86|3886.03|9523.82|11963.4|15776.7|15441.84|16878.95|14875.1|11630.28|10031.09|7166.75|7655.51|0|46.26|357.35|1602.17|6984.26|12041.55|11307.54|10100.12|9278.32|9174.45|7588.45|5847.97|5081.65|3071.22|3333.59
202002|20200214|1114052000|소공동|0|61.33|248.77|1021.51|4470.56|10194.36|12725.91|15589.86|14933.37|16202.93|14271.18|11460.17|9875.91999999999|6943.19|7716.04|0|61.29|471.73|1945.28|7411.92|12641.94|11581.74|9923.19|9310.15999999999|9159.43|7552.45|6151.86000000001|5176.83|3127.66|3668.92
202002|20200215|1114052000|소공동|0|87.63|408.1|1037.09|3618.24|7228.48|7387.97|6495.45|5673.35|6285.64|6473.43|6492.63|6684.37|4820.27|6040.83|0|86.27|585.49|1678.08|5422.51|7742.79|5937.68|4798.01|4263.52|4342.57|4083.86|4200.3|3822.59|2480.24|2875.43
202002|20200216|1114052000|소공동|0|75.12|315.69|849.49|2844.9|5253.55|4767.32|4160.34|3796.95|4323.84|4525.39|4176.52|4230.42|3106.08|3469.24|0|66.52|436.59|1311.96|3839.37|5311.19000000001|4037.11|3006.78|2932.08|2977.11|2728.31|2611.25|2358.44|1614.54|1944.02
202002|20200217|1114052000|소공동|0|34.6|150.55|830.61|3471.08|8926.79|11173.89|14762.39|14356|15665.82|13878.49|10901.48|8843.01|6209.91|6447.13|0|28.97|212.25|1243.87|6176.96|10840.04|10430.89|9055.23|8450.44|8426.11|6942.31|5477.09|4602.81|2907.01|2917.71
202002|20200218|1114052000|소공동|0|40.7200000000001|174.95|878.329999999999|3643.03|9182.13|11811.75|15419.48|14912.52|16348.55|14553.13|11606.92|9813.03|6832.81|7340.44|0|59.35|260.51|1381.74|6830.26|11566.71|10943.13|9728.36|8870.35|8938.83|7324.25000000001|5943.13999999999|4816.09|2989.26|3208.74
