STD_YM|STD_YMD|HDONG_CD|HDONG_NM|TMST_00|TMST_01|TMST_02|TMST_03|TMST_04|TMST_05|TMST_06|TMST_07|TMST_08|TMST_09|TMST_10|TMST_11|TMST_12|TMST_13|TMST_14|TMST_15|TMST_16|TMST_17|TMST_18|TMST_19|TMST_20|TMST_21|TMST_22|TMST_23
201904|20190401|1114052000|소공동|1165.36|695.8|520.95|524.27|845.59|2432|5903.32|15875.57|34457.4|19737.28|11868.71|11461.89|10241.38|11619.89|10722.3|10836.98|10341.83|11122.77|15613.2|10317.6|6446.25|6212.09|5101|3402.15
201904|20190401|1114054000|회현동|1450.06|724.8|474.74|409.52|762.7|3006.59|7237.84|16405.72|32723.32|22611.73|14653|14866.49|15744.98|15149.74|14321.38|14501.78|13488.35|14021.88|17540.74|11761.46|8336|7701.83|6637.77|3838.05
201904|20190401|1114055000|명동|1108.01|777.01|514.75|471.3|982.03|2654.03|7725.58|21638.14|46625.92|27931.64|16475.22|16304.35|16228.3|15594.02|14328.12|13717.64|13820.77|15947.92|19265.41|13276.4|8247.9|7844.72|6976.96|4227.94
201904|20190401|1114057000|필동|765.74|572.63|492.93|491.4|572.92|1003.95|3369.09|7918.16|16436.39|10338.98|6906.81|6162.2|6280.59|6580.99|6365.4|6213.52|6586.35|8058.06|10310.3|7767.26|4821.61|4684.5|3881.58|2387.47
201904|20190401|1114058000|장충동|616.86|433.44|323.41|299.9|315.92|626.4|1548.76|3540.44|7117.23|5109.21|4595.63|4315.36|3977.61|3921.88|3932.06|4056.25|3969.19|4394.92|5160.47|3905.22|2742.35|2390.16|1714.8|1184.68
201904|20190401|1114059000|광희동|1480.96|998.75|772.64|794.06|926.86|1683.12|4802.27|12442.34|25064.74|16182.23|11651.4|10852.88|10533.44|11284.3|11431.79|10704.45|10514.6|11904.02|16383.66|13292.92|8873.24|7442.31|5967.5|3494.51
201904|20190401|1114060500|을지로동|372.76|245.32|184.43|204.45|381.02|857.74|3235.73|9476.84|19177.49|12030.06|7616|6450.7|5900.12|5985.08|5748.05|5707.28|6433.42|6883.69|10307.33|7715.84|4355.19|3569.63|2960.33|1904.75
201904|20190401|1114061500|신당동|2386.45|1717.22|1414.97|1198.19|1258.07|1669.47|2960.94|5668.86|9829.28|7315.91|5616.79|4889.64|4919.9|4703.01|4702.62|5063.59|4694.38|5490.05|6947.55|7021.01|6643.45|6065.45|5171.18|4819.86
201904|20190401|1114062500|다산동|1529.06|1364.71|1260.23|1198.36|1176.63|1488.16|2190.46|3632.27|5735.26|4476.12|3340.13|3257.74|3186.81|3170.15|3344.14|3399.24|3591.97|4185|5271.83|4575.68|3455.49|3102.95|2917.19|2241.3
201904|20190401|1114063500|약수동|1202.54|958.62|824.88|776.26|776.55|1117.92|2098.93|4201.65|7022.02|4886.58|3376.14|3491.32|3123.53|3144|3446.1|3520.79|3959.97|4735.48|6373.44|5764.05|4093.43|3530.66|3207.42|2315.63
201904|20190401|1114064500|청구동|380.13|298|245.49|222.16|213.08|314.65|660.48|1454.24|2536.14|1580.74|1118.61|1020.25|1061.6|1070.16|1107.63|1292.3|1254.14|1558.12|2295.17|1978.98|1368.82|1155.29|1163.66|732.09
201904|20190401|1114065000|신당5동|338.39|245.8|189.46|148.89|173.89|390.28|946.19|2145.85|3805.05|2787.36|1925.96|1803.76|1452.14|1736.66|1721.24|2059.49|2094.51|2170.3|3238.02|2745.83|1750.44|1541.3|1528.98|976.19
201904|20190401|1114066500|동화동|392.45|312.22|262.94|228.37|226.33|327.48|602.5|1266.26|2146.81|1635.31|1190.36|1157.46|1244.48|1281.14|1268.95|1420.07|1351.7|1648.71|2120.16|1749.34|1317.99|1115.56|1024.32|689.67
201904|20190401|1114067000|황학동|397.06|277.76|179.86|164.69|190.13|472.85|1270.56|3016.14|5356.66|3612.29|2472.57|2425.19|2065.49|2392.78|2434.97|2523.28|2626.85|2760.43|4388.65|3472.88|2088.02|1972.82|1796.6|1335.08
201904|20190401|1114068000|중림동|423.38|225.21|135.15|117.59|195.75|461.35|995.03|2458.56|5562.75|2936.42|1994.37|1671.13|1714.35|1766.86|1728|1711.02|1907.91|2221.54|3111.39|2399.2|1763.78|1440.78|1577.41|789.54
201904|20190401|1135056000|월계1동|796.05|505.24|387.62|313.79|384.03|1057.21|1778.98|3847.92|5746.25|3681.46|3321.18|3317.08|3249.13|3461.7|3135.87|3514.4|4069.57|4772.73|6036.02|6124.12|3764.6|3108.75|2958.44|1969.43
201904|20190401|1135057000|월계2동|619.39|461.28|359.27|259.14|362.88|533.04|1002.37|2608.06|2719.79|2483.04|2556.42|2316.07|2642.37|2931.67|2938.6|2960.59|3307.11|3558.77|3591.62|3083.8|2607.08|2109.49|1867.39|1140.92
201904|20190401|1135058000|월계3동|1211.02|857.6|589.37|535.65|675.85|1418.7|3110.44|5653.16|6193.59|5091.6|4819.07|4506.34|4722.06|5169.47|5209.32|5349.03|5822.31|6718.85|7479.65|6962.9|5661.11|4650.46|4193.11|2637.79
201904|20190401|1135059500|공릉1동|2016.21|1334.97|1070.49|918.21|1127.96|2052.73|4522.81|9232.89|12657.61|9142.21|7632.46|6964.2|6867.45|7584.9|7311.8|7758.56|8785.63|10582.4|12277.52|12892.44|8392.71|6581.94|6616.6|4661.84
201904|20190401|1135060000|공릉2동|2437.64|1691.54|1126.42|939.28|1024.09|1968.43|4197.55|9374.17|13760.91|10898.81|9996.39|9850.12|10138.79|10597.88|10174.64|10667.57|10319.11|11803.63|12350.13|10672.44|7910.06|6683.87|6546.8|4311.33
201904|20190401|1135061100|하계1동|784.5|512.59|344.3|301.92|364.01|816.51|1655.6|4378.65|5402.3|4477.83|4143.33|3638.86|4124.69|4361.88|4504.62|4581.5|4897.28|5131.7|5387.17|5021.28|3902.44|2978.86|3296.42|1916.86
201904|20190401|1135061200|하계2동|780.2|500.92|360.41|287.12|374.93|803.34|2011.66|4140.16|5015.13|3460.77|2820.17|2580.09|2846.36|3251.01|3313.2|3483.58|3694.28|4580.53|5282.72|5444.89|3684.68|3303.39|3240.42|2005.14
201904|20190401|1135061900|중계본동|1066.69|795.22|756.21|732.74|766.46|807.5|938.17|1842.26|2142.18|1721.62|1592.11|1539.8|1559.24|1794.83|1799.42|1854.58|2248.12|2618.5|2671.06|2626.29|2090.27|1903.18|1912.25|1465.44
201904|20190401|1135062100|중계1동|402.23|233.7|180.01|135.57|168.43|335.9|516.47|1636.23|1941.63|1447.55|1358.48|1355.1|1448.39|1669.21|1826.78|2081.05|2374.8|3086.53|3088.4|2737.55|2163.97|1790.72|1805.16|1152.61
201904|20190401|1135062400|중계4동|612.03|417.56|346.74|316.54|360.1|459.99|810.84|1727.57|2109.13|1766.64|1557.68|1524.67|1534.54|1649.99|1672.25|1870.2|2211.13|2362.36|2603.91|2762.2|2124.02|1811.02|1671.86|1221.46
201904|20190401|1135062500|중계2.3동|899.86|496.81|338|239.18|351.73|729.37|1987.69|4731.88|6240.62|4352.52|3568.03|3381.95|3445.26|3919.63|3878.18|4029.89|4422.09|4834.46|6810.21|6676.34|4447.71|3862.51|3762.07|2239.78
201904|20190401|1135063000|상계1동|1261.26|773.13|576.58|439.98|665.7|1340.36|2497.91|5068.27|6670.66|5411.31|4623.67|4527.2|4622.91|5028.68|5557.71|5734.23|6257.68|7331.21|8746.72|8167.64|5552.56|4424.57|3951.82|2704.89
201904|20190401|1135064000|상계2동|925.62|683.83|528.47|449.53|631.95|1071.85|1768.63|3821.43|5672.95|5135.36|3961.72|3658|3613|3892.4|4015.62|4316.75|5051.55|5749.91|7309.86|7286.66|4533.36|3614.25|3383.49|2474.37
201904|20190401|1135066500|상계3.4동|1692.87|1556.57|1482.3|1429.8|1484.3|1532.91|1807.35|2403.14|2624.47|2245.09|2159.66|2140.93|2192.31|2137.4|2209.87|2254.22|2492.78|2673.81|3002.92|2887.94|2353.41|2284.33|2221.41|1937.86
201904|20190401|1135067000|상계5동|534.36|395.1|271.06|183.49|230.67|364.62|689.95|1358.79|1752.09|1493.14|1261.27|1303.24|1403.21|1418.22|1441.49|1762.38|2013.35|2169.04|2626.29|2620.19|1812.23|1647.15|1581.94|1105.28
