"행정구역","2020년08월_계_총인구수","2020년08월_계_연령구간인구수","2020년08월_계_0~9세","2020년08월_계_10~19세","2020년08월_계_20~29세","2020년08월_계_30~39세","2020년08월_계_40~49세","2020년08월_계_50~59세","2020년08월_계_60~69세","2020년08월_계_70~79세","2020년08월_계_80~89세","2020년08월_계_90~99세","2020년08월_계_100세 이상","2020년08월_남_총인구수","2020년08월_남_연령구간인구수","2020년08월_남_0~9세","2020년08월_남_10~19세","2020년08월_남_20~29세","2020년08월_남_30~39세","2020년08월_남_40~49세","2020년08월_남_50~59세","2020년08월_남_60~69세","2020년08월_남_70~79세","2020년08월_남_80~89세","2020년08월_남_90~99세","2020년08월_남_100세 이상","2020년08월_여_총인구수","2020년08월_여_연령구간인구수","2020년08월_여_0~9세","2020년08월_여_10~19세","2020년08월_여_20~29세","2020년08월_여_30~39세","2020년08월_여_40~49세","2020년08월_여_50~59세","2020년08월_여_60~69세","2020년08월_여_70~79세","2020년08월_여_80~89세","2020년08월_여_90~99세","2020년08월_여_100세 이상"
"전국  (0000000000)","51,839,953","51,839,953","4,045,950","4,838,700","6,800,612","6,939,804","8,330,276","8,651,547","6,590,179","3,676,849","1,698,445","246,180","21,411","25,851,388","25,851,388","2,075,085","2,503,612","3,572,033","3,573,829","4,231,843","4,365,556","3,222,386","1,652,021","594,304","55,516","5,203","25,988,565","25,988,565","1,970,865","2,335,088","3,228,579","3,365,975","4,098,433","4,285,991","3,367,793","2,024,828","1,104,141","190,664","16,208"
"서울특별시  (1100000000)","9,708,247","9,708,247","639,596","794,131","1,465,467","1,490,070","1,542,023","1,529,802","1,225,960","700,846","271,967","41,753","6,632","4,724,585","4,724,585","328,489","407,212","712,228","745,595","763,773","751,118","578,951","319,373","105,188","10,914","1,744","4,983,662","4,983,662","311,107","386,919","753,239","744,475","778,250","778,684","647,009","381,473","166,779","30,839","4,888"
"부산광역시  (2600000000)","3,401,072","3,401,072","236,814","274,958","433,203","425,362","513,686","573,461","522,542","291,533","112,849","14,800","1,864","1,666,462","1,666,462","121,423","142,167","226,054","217,418","258,368","278,113","247,645","131,230","40,400","3,234","410","1,734,610","1,734,610","115,391","132,791","207,149","207,944","255,318","295,348","274,897","160,303","72,449","11,566","1,454"
"대구광역시  (2700000000)","2,428,228","2,428,228","182,168","228,864","323,345","299,184","386,857","427,501","319,802","174,435","76,234","9,129","709","1,198,662","1,198,662","93,380","119,602","173,114","155,262","190,808","209,314","152,241","76,119","26,656","1,999","167","1,229,566","1,229,566","88,788","109,262","150,231","143,922","196,049","218,187","167,561","98,316","49,578","7,130","542"
"인천광역시  (2800000000)","2,943,491","2,943,491","233,407","275,994","402,504","409,809","485,648","513,155","357,885","176,064","76,036","12,061","928","1,474,620","1,474,620","119,788","141,922","209,904","211,851","248,154","256,654","177,354","80,115","26,034","2,600","244","1,468,871","1,468,871","113,619","134,072","192,600","197,958","237,494","256,501","180,531","95,949","50,002","9,461","684"
"광주광역시  (2900000000)","1,454,154","1,454,154","122,309","159,172","209,096","188,454","243,152","233,774","160,460","92,458","39,133","5,723","423","719,601","719,601","62,839","82,619","109,164","96,131","120,628","115,907","76,411","40,917","13,712","1,220","53","734,553","734,553","59,470","76,553","99,932","92,323","122,524","117,867","84,049","51,541","25,421","4,503","370"
"대전광역시  (3000000000)","1,469,431","1,469,431","117,415","148,434","212,919","196,687","239,441","242,755","175,168","90,599","39,872","5,776","365","733,547","733,547","60,287","76,800","111,753","102,423","119,299","121,080","85,171","41,097","14,219","1,329","89","735,884","735,884","57,128","71,634","101,166","94,264","120,142","121,675","89,997","49,502","25,653","4,447","276"
"울산광역시  (3100000000)","1,140,310","1,140,310","100,818","113,185","145,980","154,757","188,931","210,425","141,600","59,134","22,267","3,046","167","585,922","585,922","51,822","59,623","81,937","82,064","96,042","107,223","71,424","27,971","7,277","506","33","554,388","554,388","48,996","53,562","64,043","72,693","92,889","103,202","70,176","31,163","14,990","2,540","134"
"세종특별자치시  (3600000000)","347,232","347,232","46,987","41,416","36,241","60,795","66,950","43,814","28,836","14,020","6,963","1,154","56","173,183","173,183","24,076","20,777","18,362","29,633","34,237","22,783","14,293","6,418","2,341","252","11","174,049","174,049","22,911","20,639","17,879","31,162","32,713","21,031","14,543","7,602","4,622","902","45"
"경기도  (4100000000)","13,370,714","13,370,714","1,161,588","1,338,833","1,795,440","1,912,042","2,297,528","2,223,814","1,486,778","759,138","340,520","50,809","4,224","6,727,226","6,727,226","594,930","689,249","944,910","984,436","1,167,046","1,127,677","738,664","344,081","122,981","12,121","1,131","6,643,488","6,643,488","566,658","649,584","850,530","927,606","1,130,482","1,096,137","748,114","415,057","217,539","38,688","3,093"
