STD_YM|STD_YMD|HDONG_CD|HDONG_NM|MAN_FLOW_POP_CNT_0004|MAN_FLOW_POP_CNT_0509|MAN_FLOW_POP_CNT_1014|MAN_FLOW_POP_CNT_1519|MAN_FLOW_POP_CNT_2024|MAN_FLOW_POP_CNT_2529|MAN_FLOW_POP_CNT_3034|MAN_FLOW_POP_CNT_3539|MAN_FLOW_POP_CNT_4044|MAN_FLOW_POP_CNT_4549|MAN_FLOW_POP_CNT_5054|MAN_FLOW_POP_CNT_5559|MAN_FLOW_POP_CNT_6064|MAN_FLOW_POP_CNT_6569|MAN_FLOW_POP_CNT_70U|WMAN_FLOW_POP_CNT_0004|WMAN_FLOW_POP_CNT_0509|WMAN_FLOW_POP_CNT_1014|WMAN_FLOW_POP_CNT_1519|WMAN_FLOW_POP_CNT_2024|WMAN_FLOW_POP_CNT_2529|WMAN_FLOW_POP_CNT_3034|WMAN_FLOW_POP_CNT_3539|WMAN_FLOW_POP_CNT_4044|WMAN_FLOW_POP_CNT_4549|WMAN_FLOW_POP_CNT_5054|WMAN_FLOW_POP_CNT_5559|WMAN_FLOW_POP_CNT_6064|WMAN_FLOW_POP_CNT_6569|WMAN_FLOW_POP_CNT_70U
201905|20190501|1114052000|소공동|0|168.81|1319.72|2238.15|5382.96|8636.64|8332.79000000001|8440.98|7816.76|9762.75|9607.47|8825.89|8294.36|5573.19|6965.48|0|217.19|1449.74|4279.21|9093.59|9632.55|7399.15|7033.74|6558.38|7281.34999999999|6459.98|6013.43|5176.16|3395.22|4377.94
201905|20190502|1114052000|소공동|0|114.17|822.78|2378.65|6129.18|11210.43|13549.68|17494.04|16136.85|18738.49|15714.45|13544.84|12180.52|7789.95|9317.3|1.76|114.36|953.97|4505.85|11191.44|14106.84|12333.54|12647.47|11222.5|10922.49|9017.32|7747.43|6456.46|3965.53|5175.43
201905|20190503|1114052000|소공동|0|133.5|1003.99|3286.87|7287.46999999999|12167.9|13813.12|17447.63|15876.94|18210.4|15622.4|13564.93|11985.92|7998.02|9271.38|1.78|184.15|1136.59|5768.36|12379.38|14691.48|12937.09|12516.24|11287.52|11427.26|9262.41|7849.34|6400.17|4007.16|5220.62
201905|20190504|1114052000|소공동|0.11|340.74|1488.38|2681.65|5909.81|9259.44|8755.14|8370.45|7357.42|8604.56|8360.3|8605.03|8536.87|6306.49|8120.7|0|459.66|2012.88|4189.48|8496.83|9722.24|7868.46|7605.82000000001|6998.07|7278.34|6407.07|6146.52|5362.6|3420.72|4480.37
201905|20190505|1114052000|소공동|0.2|330.86|1641.64|2346.88|4609.35|7339.99|6650.98|6301.37|5745.76|6823.61|6170.69|5999.29|5762.11|3986.99|4928.15|0.1|496.15|2169.99|3535.92|6800.2|7508.98|6164.29000000001|6071.46|5998.31|5803.71|4826.35|4525.66|3775.14|2468.15|3334.38
201905|20190506|1114052000|소공동|0|201.87|980.939999999999|2442.94|4900.32|7024.92|6336.94|6079.34|5604.76|6533.81|6864.92|6554.74|6389.76|4556.14|5779.64|0|280.13|1360.73|3900.01|7309.87|7351.83|5748.58|5303.4|5054.42|5618.72|4861.69|4816.5|4250.93|2741.47|3782.11
201905|20190507|1114052000|소공동|0|87.05|535.87|2488.73|5541.78|11324.44|13090.1|17253.21|16148.99|18583.11|15220.1|12874.08|11018.9|7303.91000000001|8679.23|1.76|82.85|795.16|4071.19|10696.21|13524.27|12201.1|11922.27|10769.5|10896.03|8538.41|7560.16|6170.51|3715.83|5018.46
201905|20190508|1114052000|소공동|0|69.91|814.42|2619.99|5512.46|11471.54|14077.26|17793.48|16923.22|19056.06|15908.07|13134.79|11384.12|7490.98000000001|8751.17|1.76|82.91|1148.27|4349.91|10983.59|14560.89|12657.88|12436.38|11509.11|11020.54|9011.44|7728.14|6320.55|3937.5|5269.89
201905|20190509|1114052000|소공동|1.58|72.62|1028.12|2896.8|5716.2|11268.9|13594.79|17741.02|16616.03|18927.18|16061.54|13465.54|11898.66|8040.3|9237.26|3.1|73.54|1233.57|4661.67|10974.38|14190.16|12576.54|12384.81|11439.75|11142.11|9048.7|7627.96|6372.86|3784.61|5305.33
201905|20190510|1114052000|소공동|0|88.78|1214.33|3598.59|6637.88|12207.66|14377.84|18093.12|16690.83|18849.12|15798.09|13556.18|11670.9|7738.37|9264.08|1.77|106.69|1316.83|5243.21|11861.27|14852.2|13300.42|12882.03|11594.54|11463.73|9423.86|7758.63|6483.49|3863.67|5246.07999999999
201905|20190511|1114052000|소공동|0.83|283.56|1197.14|2691|5729.21|9554.88|9172.42|8370.13|7280.63|8577.38|7986.43|8606.04|8601.53|5988.25|7490.7|1.78|397.81|1590.95|4129.82|8733.63|10491.64|8306.06|7713.53|6966.24000000001|7244.06|6346.33|6374.69|5396.6|3391.42|4355.17
201905|20190512|1114052000|소공동|0|186.97|863.67|1960.37|4414.32|6919.55|6454.79|5973.47|5181.57|5950.06|6067.69|5877.77|5736.7|3981.89|4861.6|0|266.9|1138.07|3025.58|6450.59|7291.1|5659.11|5442.21|5017.55|4928.25|4423.2|4416.28|4039.54|2515.74|3699.4
201905|20190513|1114052000|소공동|0|60.43|548.600000000001|2091.58|5544.93|10889.1|13156.36|16959.16|15992.77|18194.8|15154.17|12541.44|11098.81|7109.49|8465.85|1.73|106.35|801.49|3432.73|10023.19|13498.39|11666.37|11466.43|10663.5|10305.97|8316.94|7092.94|5956.63|3786.44|4934.92
201905|20190514|1114052000|소공동|0|93.2800000000001|745.76|2291.22|5642.66|11272.94|13604.63|17349.34|16322.74|18806.64|15620|13120.61|11606.97|7881.51|8957.48|1.77|86.8|908.29|3680.42|10564.19|14103.32|12445.48|12169.54|11497.1|10981.96|8883.22|7614.56|6385.32|3936.1|4981.2
201905|20190515|1114052000|소공동|0|97.17|885.55|3278.66|6073.17|11446.66|13769.3|17844.61|16788.36|19057.66|15578.31|13020.38|11229.23|7303.73000000001|8855.54|1.78|109.64|1155.34|5365.78|11053.53|14451.8|12701.03|12526.8|11358.09|11058.98|9022.06|7485.94|6158.39|3780.81|5174.64
201905|20190516|1114052000|소공동|0.85|75.3000000000001|1077.73|2689.03|6371.73|11628.48|13691.59|17603.75|16457.85|19192.19|15993.92|13573.29|12015.14|7842.43|9099.05000000001|2.08|116.14|1282.02|4657.29999999999|11669.24|14727.73|13002.11|12690.67|11409.6|11312.78|9077.68|7648.46|6359.1|3711.95|5004.55
201905|20190517|1114052000|소공동|0|103.9|858.16|3143.31|6762.19|12525.17|13986.17|17315.7|16298.66|18840.71|15351.03|13730.03|11811.89|7755.54|8857.52|1.04|150.83|1164.43|5245.76|11856.31|15033.99|13308.42|13130.34|11429.76|11519.72|9080.19|7880.98|6375.86000000001|3853.27|4829.3
201905|20190518|1114052000|소공동|0.87|307.63|1267.43|2593.19|5834.42|9718.89|8770.56|8399.14|7293.2|8472.33|8307.21|8301.41|8593.81|5973.25|7280.82|0|405.91|1658.63|3953.94|8986.72|10821.8|8622.87|7643.68|6885.12|7075.29|6239.29|6146.66|5230.37|3234.71|4261.76
201905|20190519|1114052000|소공동|0|139.26|760.4|1673.81|3928.62|6461.4|5925.35|5446.64000000001|4639.8|5486.37000000001|5481.63|5479.88|5425.07|3809.29|4300.37|0|216.37|1048.91|2537.3|5875.98|6791.45|5281.62|4859.81|4171.87|4493.11|3866.08|4063.01|3430.46|2115.05|2762.61
201905|20190520|1114052000|소공동|0.33|63.6|405.82|2051.34|5269.58|10682.65|12795.22|16266.3|15701.49|17909.41|15079.28|12552.87|10972.62|7329.92|8680.19999999999|0.55|101.64|604.05|3438.3|9963.27|13011.76|11555.01|11413.6|10362.17|9962.69|8247.44|7112.83|5887.32|3659.58|4839.87
201905|20190521|1114052000|소공동|0|83.75|633.84|2329.37|5391.07|11138.85|13278.27|17259.82|16406.46|18806.64|15655.08|13541.97|11488.24|7700.10000000001|9328.99|0.55|85.7600000000001|948.989999999999|3653.66|10306.35|14185.55|12253.64|12482.69|11085.73|10974.03|8724.27|7506.73|6212.27|3814.3|4995.55
201905|20190522|1114052000|소공동|0.02|78.25|945.48|2467.44|5562.87|11307.33|13593.77|17271.39|16588.2|18948.07|15972.5|13134.9|11447.08|7550.01|8849.43|3.53|104.37|1153.12|3959.85|10513.47|14320.99|12454.16|12444.38|11065.9|10930.08|8816.38|7383.04|6341.74|3781.09|4945.71000000001
201905|20190523|1114052000|소공동|0|81.21|783.01|2606.27|5833.74|11388.54|13583.36|17336.61|16687.86|18913.82|15718.64|13367.19|11944.91|7888.92|8877.65|1.77|77.5899999999999|817.379999999999|3743.78|10763.93|14346.81|12554.94|12577.77|11210.84|10983.35|8768.92|7621.14|6164.34|3688.49|4894.63
201905|20190524|1114052000|소공동|0.28|100.1|877.840000000001|3175.86|6369.55999999999|12211.35|13896.71|17164.12|16061.96|18483.66|15647.25|13446.03|11702.91|7564.96|8869.2|0.53|131.59|903.45|4695.79|11431.47|14800.34|12986.62|12615.71|11404.29|11185.66|9092.46|7629.11|6248.1|3730.67|4655.39
201905|20190525|1114052000|소공동|0|271.3|1205.84|2630.31|5680.27|9512.93|9100.59999999999|8330.79|7315.82|8478.71|8207.96|8444.43|8507.01999999999|5996.03|7854.53|0.68|389.44|1609.04|3803.67|8996.16|10877.61|8515.07|7939.94000000001|7083.7|7408.62|6456.21|6420.44|5547.19|3371.01|4360.52
201905|20190526|1114052000|소공동|0|187.05|925.49|1918.1|4340.5|6906.05|6434.14|5788.26|5115.27999999999|5835.98|5818.75|5612.63|5689.82|3883.85|4554.25|0.03|241.64|1149.62|2981.99|6389.67|7625.73|6039.34|5571.14|4830.65|4956.83|4165.39|4121.24|3685.94|2223.47|2964.65
201905|20190527|1114052000|소공동|0.06|49.23|352.69|1916.18|5057.93|10271.89|12719.5|16090.36|15081.8|17734.56|14411.67|11924.18|10205.1|6618.25|7745.81|0.09|56.5000000000001|431.77|3096.57|9212.53|12825.77|10938.32|10827.77|9941.53|9510.49|7686.85|6588.44|5455.36|3260.82|4088.07
201905|20190528|1114052000|소공동|0|73.49|601.59|2112.45|5293.18|10900.51|13214.79|17347.27|16183.54|18767.95|15521.3|13090.9|11346.28|7611.78|9052.13999999999|1.77|85.08|789.73|3437.31|10281.15|14134.27|12372.27|12474.49|11241.17|10910.27|8700.14|7848.95|6541.72|3944.52|5315.71
201905|20190529|1114052000|소공동|0|97.42|913.94|2292.93|5500.84|11357.48|13863.15|17522.57|16304.72|18981.72|15716.81|12975.25|11220.69|7360.27|8576.41|0.29|104.08|1208.87|4193.83|10598.74|14475.96|12943.65|13030.45|11593|11577.46|9070.39|7941.63|6620.85|3853.35|5182.08
201905|20190530|1114052000|소공동|0|71.2|738.809999999999|2212.87|5597.87|11169.58|13327.9|17232.35|16420.64|18826.75|15523.12|13048.29|11680.94|7541.64000000001|8944.36000000001|2.01|85.79|1013.15|3671.98|10517.11|14055.37|12554.03|12709.06|11350.76|11180.6|8835.80000000001|7896.22|6582.27|3952.6|5324.18
201905|20190531|1114052000|소공동|0|83.98|686.080000000001|2667.78|6221.56|12021.42|14148.21|17282.58|16028.4|18428.04|15367.66|13286.87|11549.83|7584.88|8674.44|3.53|112.08|961.929999999999|3876.05|10924.8|14939.39|12585.05|12987.63|11290.91|11111.95|9011.6|7996.37|6510.18|3996.78|5114.38
201905|20190501|1114054000|회현동|0|249.9|1503.67|2971.76|6100.34|9162.39999999999|9274.87|10281.31|9943.23000000001|12410.47|11635.15|11634.2|11199.85|8150.86|11947.36|0|354.95|1873.13|3921.8|10244.97|10529.27|9094.84000000001|9734.68000000001|9640.11000000001|11658.35|11185.45|11937.7|11663.43|8761.78|11118.34
201905|20190502|1114054000|회현동|0|160.13|944.89|3252.73|7383.1|11537.23|14276.77|19429.48|18415.65|21671.31|17528.44|15576.27|13992.73|9785.75000000001|13129.99|0.25|173.76|1165.63|4598.51|12654.6|13718.68|13169.1|13923.41|12798.62|13673.93|11945.71|12159.82|11493.01|8030.65|10976.71
