STD_YM|STD_YMD|HDONG_CD|HDONG_NM|TMST_00|TMST_01|TMST_02|TMST_03|TMST_04|TMST_05|TMST_06|TMST_07|TMST_08|TMST_09|TMST_10|TMST_11|TMST_12|TMST_13|TMST_14|TMST_15|TMST_16|TMST_17|TMST_18|TMST_19|TMST_20|TMST_21|TMST_22|TMST_23
202002|20200201|1114052000|소공동|1393.34|1144.91|900.51|721.78|784.43|1479.5|3047.25|3418.62|5281.12|6511.74|6638.14|7583.97|8100.92|7558.4|7705.97|7389.93|7322.32|8070.4|6488.7|4890.46|4304.38|3683.57|4002.98|2894.37
202002|20200201|1114054000|회현동|1586.96|1170.81|898.06|682.55|763.84|2089.57|3902.2|5185.7|8461.13|10632.62|10605.26|12262.11|12911.16|12305.87|11846.92|11701.47|11364.08|10725.66|8140.2|6399.03|5566.32|5533.92|4715.67|3334.92
202002|20200201|1114055000|명동|1534.52|1139.65|1015.2|799.85|773.06|1506.43|3603.61|4707.65|7198.98|9182.75|9864.41|10970.79|11471.71|11221.18|11188.64|10109.6|10587.3|10697.87|8781.11|6420.97|5091.03|5025.4|4415.18|3415.71
202002|20200201|1114057000|필동|1321.52|933.49|803.4|690.18|754.61|954.29|2056.61|2456.02|4065.44|4588.57|4622.24|5209.1|5028.23|5202.56|4931.33|4989.49|5010.95|5702.29|5089.43|3959.67|3151.5|3048.29|2951.06|2017.3
202002|20200201|1114058000|장충동|629.17|561.68|454.77|372.22|388.65|627.47|1078.66|1327.15|2008.64|2460.44|3142.88|3703.56|3382.71|3156.54|3423.15|3030.29|2882.15|3099.08|2584.95|1811.88|1669.96|1664.65|1164.56|976
202002|20200201|1114059000|광희동|2320.86|1596.99|1297.88|1137|1155.9|1420.2|3428.91|3851.89|6248.33|7941.54|8232.52|8506.12|8793.19|9991.56|9937.47|9709.07|9264.87|10395.34|8493.37|6642.03|5697.06|5320.94|4590.06|4338.77
202002|20200201|1114060500|을지로동|854.97|388|332.77|341.85|396.32|783.96|2213.38|2733.29|4608.55|5185.93|4794.8|5555.95|6023.78|6146.53|6106.71|5783.66|6174.72|6021.02|4314.59|3589.08|2895.74|2536.36|2949.97|1564.49
202002|20200201|1114061500|신당동|2589.83|2259.99|1792.19|1524.59|1479.34|1494.05|1984.5|2329.09|3325.01|3882.13|3627.89|3952.97|4145.4|4638.63|4055.23|4005.8|3837.92|4408.28|3792.38|2691.6|2554.74|2192.84|2104.77|1902.05
202002|20200201|1114062500|다산동|1454.93|1425.58|1308.52|1267.26|1248.04|1413.01|1763.26|1855.23|2487.27|2697.58|2782.54|2942.06|3057.28|2977.1|3043.54|2943.96|2968.77|3230.56|3335.44|2800.96|2535.84|2540.06|2332.45|2254.5
202002|20200201|1114063500|약수동|1444.46|1255.2|1122.83|1048.06|929.2|1211.1|1713.48|1995.71|2776.34|3219.54|3563.89|3553.58|3751.01|3916.12|4000.1|3750.38|3958.9|4353.98|4194.72|3389.99|3046.89|3308.74|2758.48|2561.99
202002|20200201|1114064500|청구동|428.71|386.27|338.35|285.28|252.07|339.56|517.98|522.13|804.24|928.91|964.25|1031.6|1203.07|1139.54|1186.03|1153.87|1221.54|1343.18|1334.95|1063.95|943.5|904.07|866.66|885.12
202002|20200201|1114065000|신당5동|482.55|399.88|329.74|252.21|239.48|366.84|529.19|640.87|1153.97|1189.32|1276.45|1416.91|1535.7|1619.07|1560.25|1621.01|1730.1|1925.98|1744.17|1368.74|1220.27|1199.75|1059.52|820.43
202002|20200201|1114066500|동화동|550.1|526.72|427.96|402.14|372.53|447.71|584.15|628.04|1003.95|1128.31|1194.03|1283.4|1411.33|1401.74|1441.53|1383.61|1396.72|1534.09|1602.71|1260.83|1245.47|1118.14|1064.96|1039.53
202002|20200201|1114067000|황학동|594.73|417.6|327.59|296.69|264.25|509.03|788.17|1067.43|1696.74|1861.06|2151.85|2232.51|2628.84|2579.59|2555.64|2855.48|2980.04|2904.01|2489.64|1859.56|1786.56|1696.61|1307.87|1043.93
202002|20200201|1114068000|중림동|521.51|481.77|375.93|252.83|269.56|457.74|693.27|857.1|1265.72|1514.6|1809.73|1889.02|2111.23|2213.35|2123.94|2121.42|1983.31|2080.64|1889.58|1566.89|1277.12|1218.91|1371.96|893.35
202002|20200201|1135056000|월계1동|1224.75|946.52|747.22|646.92|636.93|842.7|1239.64|1357.39|2013.05|2375.61|2602.53|2942.37|3076.56|3348.6|3299.56|3334.28|3737.88|4078.07|4120.24|3640.17|2964.86|3054.77|2457.96|2091.3
202002|20200201|1135057000|월계2동|1253.47|1331.04|1235.62|1168.05|1169.59|1237.83|1324.7|1428.34|1528.53|1731.02|1800.2|1793.38|1801.76|1959.02|1951.37|2060.22|2065.67|2108.5|2211.25|1979.45|1804.22|1807.93|1689.34|1609.99
202002|20200201|1135058000|월계3동|1616.9|1645.68|1264.01|989.85|1027.71|1365.68|1817.98|2282.01|2838.05|3526.25|4199.74|4945.41|4850.84|5278.83|5191.57|5684.29|5939.91|6099.53|5664.88|4687.25|4035.05|3949.08|3228.97|2594.32
202002|20200201|1135059500|공릉1동|2897.19|2514.98|1981.71|1726.73|1688.05|2095.13|3046.89|3715.34|5476.58|6266.42|6657.81|7410.14|7549.34|8387.9|8088.62|8325.79|9106.54|10008.29|9073.67|7219.88|6096.85|6130.18|5683.26|4638.32
202002|20200201|1135060000|공릉2동|2135.33|2005.39|1532.83|1244.49|1164.77|1758.64|2547.92|3177.53|5113.38|6263.83|6682.66|7118.42|7617.97|8141.16|7895.96|8280.42|8546.04|8812.89|8010.35|6428.24|5447.81|4914.03|4454.79|3491.31
202002|20200201|1135061100|하계1동|931.67|747.98|577.86|477.26|447.84|685.6|989.26|1258.06|2003.5|3014.88|3204.34|3198.27|3686.62|3677.47|3645.23|3713.23|4031.94|3971.19|3874.99|3051.1|2392.21|2350.85|2126.21|1494.93
202002|20200201|1135061200|하계2동|1092.1|908.98|600.69|496.27|431.29|631.32|1143.39|1494.24|1997.75|2603.5|2629.65|2992.15|3102.01|3544.32|3270.36|3569.12|3850.02|3837|3946.82|3071.52|2469.75|2601.53|2289.38|1676.97
202002|20200201|1135061900|중계본동|1389.28|1408.62|1338.67|1307.72|1311.64|1342.79|1431.52|1593.81|1860.69|2440.52|2600.21|2543.6|2599.3|2885.62|2636.6|2436.82|2593.73|2558.75|2865.07|2287.87|2137.96|2138.1|2125.07|1914.66
202002|20200201|1135062100|중계1동|587.12|566.8|357.34|271.85|265.99|339.1|434.43|650.63|1223.03|2163.91|2509.98|2255.07|2760.98|3051.91|2925.39|2596.22|2662.71|2700.75|2755.48|2307.56|1845.43|1698.32|1471.89|998.81
202002|20200201|1135062400|중계4동|739.98|677.36|570.68|477.88|493.57|577.55|673.57|852.14|1260.37|1627.07|1792.38|1949.66|2112.95|2088.27|2153.57|2098.64|2225.62|2406.72|2353.03|2132.84|1583.85|1517.89|1479.86|1225.17
202002|20200201|1135062500|중계2.3동|1192.85|1052.65|676.86|538.85|514.48|698.94|1033.2|1364.91|2173.16|3072.2|3572.2|3844.77|4418.8|4536.52|4770.86|4985.11|4990.71|4892.34|4890.37|4050.04|3336.1|3018.72|2723.94|2084.81
202002|20200201|1135063000|상계1동|1534.55|1276.31|961.23|793.7|854.45|1196.08|1665.51|2296.7|3652.74|4527.5|5316.17|5909.04|6444.87|6233.83|6278.7|6761.42|7400.81|7603.6|7061.38|5251.55|4272.62|3778.91|3493.38|2786.91
202002|20200201|1135064000|상계2동|1287.65|1108|808.53|676.75|654.71|919.44|1240.27|1491.39|3022.03|4509.41|4417.77|4882.08|5440.38|5660.67|6028.35|5846.42|5831.1|6425.63|6446.96|5031.13|4050.48|3549.36|3076.18|2479.6
202002|20200201|1135066500|상계3.4동|1772.89|1819.68|1804.49|1707.94|1710.07|1731.2|1989.18|2080.39|2359.81|2735.14|2899.43|3064.65|3160.69|3011.54|3007.86|2971.73|2916.47|2956.79|3123.99|2726.65|2593.63|2525.8|2461.34|2451.89
202002|20200201|1135067000|상계5동|785.42|835.02|700.33|555.46|594.15|617.72|715.56|967.95|1328.92|1577.38|1741.44|1941.2|1940.06|2052.13|2104.86|2117.3|2175.63|2348.08|2324.8|2003.82|1740|1776.06|1553.62|1423.69
202002|20200201|1135069500|상계6.7동|2926.41|2897.2|2275.59|1923.41|1883.23|2418.36|3324.35|4295.9|6393.4|8749.68|9405.27|10085.73|10390.22|10599.81|11149.12|10712.93|10930.01|11335.47|10550.92|7841.08|6850.52|6283.47|5478.21|4151.85
202002|20200201|1135070000|상계8동|1364.49|1376.97|1181.19|997.31|980.49|1094.39|1322.63|1907.73|2550.51|3207.52|3411.64|3470.98|3775.89|3684.2|3703.61|3833.22|3787.25|3958.91|3635.15|3172.82|2984.49|2800.56|2643.16|2324.09
202002|20200201|1135071000|상계9동|452.77|442.71|314.56|248.14|236|323.45|474.03|584.39|876.77|1193.47|1288.87|1450.39|1561.7|1601.28|1519.7|1699.17|1618.75|1763.52|1687.88|1480.12|1315.58|1156.46|1044.47|901.95
202002|20200201|1135072000|상계10동|629.09|653.34|405.98|282.75|293.12|373.23|496.71|632.09|1246.13|1605.47|1790.1|1944.56|2189.71|2189.06|2214.95|2195.65|2235.29|2363.73|2240.55|1724.05|1465.76|1255.14|1141.33|925.62
202002|20200201|2711051700|동인동|668.36|718.88|573.89|411.67|376.52|492.17|840.47|1237.48|1979.3|2686.45|3072.23|3393.24|3494.01|3705.42|4023.32|3683.2|3729.14|3772.48|3559.02|2598.68|2647.52|2116.32|1747.17|1173.38
202002|20200201|2711054500|삼덕동|783|988.78|787.34|645.08|517.94|621.07|806.43|1166.26|1827.27|2417.59|2742.04|2923.9|2879.79|3121.03|3195.83|3128.68|3003.27|3198.98|3135.51|2621.74|2498.93|2138.46|1978.68|1531.13
202002|20200201|2711056500|성내1동|1539.92|1751.25|1498.01|1340.61|1197.23|1421.84|2045.76|2900.05|4569.57|7151.83|8600.81|9527.81|10213.47|11147.41|11624.56|10837.23|9919.35|9604.31|9003.43|6848.34|5532.7|4814.41|3910.65|2823.86
202002|20200201|2711057500|성내2동|1063.5|1146.22|959.9|777.24|690.06|908.62|1660.46|2647.05|4285.9|6130.99|7198.57|7709.66|8703.41|9195.85|9091.89|8472.9|7777.06|7777.29|7503.72|5608.21|4120.03|3610.28|2764.24|1859.67
202002|20200201|2711058500|성내3동|500.66|517.94|439.58|366.77|357.67|485.86|734.87|1248.43|1594.33|1922.64|1955.44|2193.46|2152.83|2151.16|2351.98|2124.46|2031.96|2021.91|2122.48|1574.89|1491.63|1233.22|1070.88|798.5
202002|20200201|2711059500|대신동|425.85|453.05|369.94|316.22|261.09|385|664.25|1023.31|1809.49|2651.17|3195.36|3586.41|3920.81|4016.41|3969.12|3666.56|3502.8|2950.41|2493.76|1845.5|1628.42|1370|1261.61|874.83
202002|20200201|2711064000|남산1동|607.06|635.74|592.63|531.72|525.07|575.55|836.37|1023.46|1696.9|2125.58|2268.88|2609.46|2570.46|2754.1|2858.87|2701.88|2499.22|2688.09|2639.46|1904.64|1745.52|1555.78|1390.37|1106.66
202002|20200201|2711065000|남산2동|535.17|578.95|554.1|492.76|443.67|550.95|890.89|1162.15|1830.45|2769.49|2976.48|3411.07|3594.68|3749.51|3664.27|3486.54|3392.81|3361.36|3249.81|2357.3|1855.17|1540.64|1331.11|1011.67
202002|20200201|2711066000|남산3동|130.22|144.35|144.86|82.12|80.31|105.28|147.7|210.85|346.22|537.02|618.49|631.03|674.13|657.65|702.82|644.34|651.32|677.8|659.63|538.74|481.15|466.81|362.54|233.63
202002|20200201|2711067000|남산4동|533.92|588.06|480.96|393.06|326.79|424.19|625.66|754.17|1153.03|1391.64|1514.42|1620.87|1740.15|1759.63|1835.23|1771.16|1902.56|1971.26|1917.09|1664.03|1497.88|1343.17|1163.9|903.5
202002|20200201|2711068000|대봉1동|1102.11|1174.04|1001.86|907.58|836.63|940.68|1224.1|1610.39|2489.71|3449.73|3861.71|4083.25|4033.99|4489.19|4533.01|4497.87|4493.86|4464.42|4439.24|3337.97|3014.32|2566.81|2186.86|1682.96
202002|20200201|2711069000|대봉2동|100.28|114.56|84.47|58.7|50.41|70.2|165.2|168.68|320.51|472.7|436.05|468.24|520.43|511.44|565.5|546.21|535.63|562.04|558.13|470.47|411.49|353.28|274.23|208.41
202002|20200201|2726051000|범어1동|870.61|809.97|651.67|494.85|366.65|450.28|925.67|1176.11|2047.63|3200.89|3504.76|4236.26|4332.03|4713.15|4404.24|4165.07|4107.58|4518.88|4690.84|3604.86|3318.6|2535.73|2183.47|1566.8
202002|20200201|2726052000|범어2동|901.34|865.78|698.32|547|449.97|549.03|886.75|1247.75|2223.44|3368.53|3874.45|4036.91|4403.85|4785.91|4627.22|4524.43|4577.5|4604.77|4789.37|3688.6|3226.09|2740.12|2295.69|1642.69
202002|20200201|2726053000|범어3동|550.15|548.43|448.5|314.07|257.52|269.91|539.87|702.7|1204.96|1808.81|2052.09|2272.87|2410.01|2659.52|2725.85|2663.24|2592.51|2885.32|2986.03|2347.31|2028.45|1791.84|1485.13|1022.61
202002|20200201|2726054000|범어4동|806.67|786.39|552.66|401.67|290.04|388.72|719.86|1000.26|1829.55|3108.35|3558.83|3603.85|3992.78|4503.54|4220.65|3991.46|4064.23|4104.2|4085.11|3383.98|2963.03|2505.63|2186.46|1472.68
202002|20200201|2726055000|만촌1동|1704.16|1674.67|1341.78|1213.19|1069.22|1296.36|1885.08|2522.76|3567.12|4999.27|5760.63|6638.07|6767.89|6697.69|6984.92|6804.38|7377.1|7101.54|7214.27|5660.56|5305.96|4324.13|3641.81|2697.27
202002|20200201|2726056000|만촌2동|849.61|833.27|608.3|538.74|428.37|481.01|944.73|1315.08|2160.46|3188.52|3443.06|3756.22|4130.88|4238.14|3854.12|3917.78|4063.51|4090.77|4007.06|3140.78|2730.18|2473.35|2049.49|1448.3
202002|20200201|2726056100|만촌3동|678.21|644.31|460.83|418.55|333.35|339.86|619.48|832.85|1312.08|1797.83|1996.83|2089.99|2310.35|2355.49|2174.29|2177.82|2269.43|2268.33|2225.48|1932.21|1708.6|1617.72|1377.61|1108.11
