"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20200501","중앙선","운길산","1349","1358","20200504",""
"20200501","중앙선","팔당","1492","1712","20200504",""
"20200501","중앙선","도심","1691","1462","20200504",""
"20200501","중앙선","덕소","4303","4233","20200504",""
"20200501","중앙선","양정","645","599","20200504",""
"20200501","중앙선","도농","6006","5562","20200504",""
"20200501","중앙선","구리","9135","9495","20200504",""
"20200501","중앙선","양원","967","992","20200504",""
"20200501","중앙선","망우","5584","5317","20200504",""
"20200501","중앙선","상봉(시외버스터미널)","4606","4431","20200504",""
"20200501","중앙선","중랑","4007","3673","20200504",""
"20200501","중앙선","회기","15569","14448","20200504",""
"20200501","장항선","신창(순천향대)","1190","857","20200504",""
"20200501","장항선","온양온천","3204","3209","20200504",""
"20200501","장항선","배방","869","709","20200504",""
"20200501","장항선","아산","1906","1882","20200504",""
"20200501","장항선","쌍용(나사렛대)","1308","1153","20200504",""
"20200501","장항선","봉명","569","583","20200504",""
"20200501","일산선","대화","7824","6713","20200504",""
"20200501","일산선","주엽","5647","5615","20200504",""
"20200501","일산선","정발산","5673","6092","20200504",""
"20200501","일산선","마두","4718","4896","20200504",""
"20200501","일산선","백석","6670","6583","20200504",""
"20200501","일산선","대곡","1089","946","20200504",""
"20200501","일산선","화정","11848","12371","20200504",""
"20200501","일산선","원당","7752","7310","20200504",""
"20200501","일산선","삼송","11479","10791","20200504",""
"20200501","일산선","원흥","5718","5243","20200504",""
"20200501","우이신설선","신설동","1277","1297","20200504",""
"20200501","우이신설선","보문","1069","1020","20200504",""
"20200501","우이신설선","성신여대입구(돈암)","2228","2700","20200504",""
"20200501","우이신설선","정릉","3057","2537","20200504",""
"20200501","우이신설선","북한산보국문","3981","3486","20200504",""
"20200501","우이신설선","솔샘","3243","2885","20200504",""
"20200501","우이신설선","삼양사거리","1743","1703","20200504",""
"20200501","우이신설선","삼양","1459","1530","20200504",""
"20200501","우이신설선","화계","2171","1922","20200504",""
"20200501","우이신설선","가오리","2676","2441","20200504",""
"20200501","우이신설선","4.19민주묘지","2067","1884","20200504",""
"20200501","우이신설선","솔밭공원","1641","1459","20200504",""
"20200501","우이신설선","북한산우이","2685","2606","20200504",""
"20200501","안산선","수리산","2960","2707","20200504",""
"20200501","안산선","오이도","7370","7579","20200504",""
"20200501","안산선","정왕","4888","4811","20200504",""
"20200501","안산선","신길온천","1127","1082","20200504",""
"20200501","안산선","안산","9200","9222","20200504",""
"20200501","안산선","초지","2502","2484","20200504",""
"20200501","안산선","고잔","4773","4481","20200504",""
"20200501","안산선","중앙","11563","12461","20200504",""
"20200501","안산선","한대앞","5108","4798","20200504",""
"20200501","안산선","상록수","12027","11628","20200504",""
"20200501","안산선","반월","3178","2944","20200504",""
"20200501","안산선","대야미","3722","3100","20200504",""
"20200501","안산선","산본","11187","11709","20200504",""
"20200501","수인선","인천","1012","1612","20200504",""
"20200501","수인선","신포","1235","1410","20200504",""
"20200501","수인선","숭의","2251","2023","20200504",""
"20200501","수인선","인하대","3357","3151","20200504",""
"20200501","수인선","송도","1733","1627","20200504",""
"20200501","수인선","연수","3286","3213","20200504",""
"20200501","수인선","원인재","3058","3084","20200504",""
"20200501","수인선","남동인더스파크","698","670","20200504",""
"20200501","수인선","호구포","1881","1756","20200504",""
"20200501","수인선","인천논현","3844","4026","20200504",""
"20200501","수인선","소래포구","5744","5675","20200504",""
"20200501","수인선","월곶","1707","1644","20200504",""
"20200501","수인선","달월","43","37","20200504",""
"20200501","분당선","매교","1327","1367","20200504",""
"20200501","분당선","수원시청","7202","8555","20200504",""
"20200501","분당선","매탄권선","2589","2359","20200504",""
"20200501","분당선","망포","7062","6484","20200504",""
"20200501","분당선","영통","5566","5398","20200504",""
"20200501","분당선","청명","2185","2107","20200504",""
"20200501","분당선","상갈","3314","3112","20200504",""
"20200501","분당선","기흥","5644","5521","20200504",""
"20200501","분당선","신갈","2402","2298","20200504",""
"20200501","분당선","구성","2778","2833","20200504",""
"20200501","분당선","죽전","8719","9677","20200504",""
"20200501","분당선","보정","1250","1098","20200504",""
"20200501","분당선","이매","3214","3147","20200504",""
"20200501","분당선","오리","6409","5290","20200504",""
"20200501","분당선","미금","9759","10036","20200504",""
"20200501","분당선","정자","8671","8902","20200504",""
"20200501","분당선","수내","7148","6892","20200504",""
"20200501","분당선","서현","15344","15749","20200504",""
"20200501","분당선","야탑","15279","16143","20200504",""
"20200501","분당선","모란","13566","14034","20200504",""
"20200501","분당선","태평","9577","8824","20200504",""
"20200501","분당선","가천대","4533","4648","20200504",""
"20200501","분당선","선정릉","2816","2919","20200504",""
"20200501","분당선","강남구청","4141","4961","20200504",""
"20200501","분당선","압구정로데오","11079","13242","20200504",""
"20200501","분당선","서울숲","6455","6846","20200504",""
"20200501","분당선","수원","5603","2995","20200504",""
"20200501","분당선","수서","7668","8724","20200504",""
"20200501","분당선","대모산입구","1675","1566","20200504",""
"20200501","분당선","개포동","1982","1987","20200504",""
"20200501","분당선","구룡","681","708","20200504",""
"20200501","분당선","도곡","3513","3281","20200504",""
"20200501","분당선","한티","8385","8670","20200504",""
"20200501","분당선","선릉","4325","6839","20200504",""
"20200501","과천선","범계","16888","16773","20200504",""
"20200501","과천선","평촌","7685","7405","20200504",""
"20200501","과천선","인덕원","13030","12619","20200504",""
"20200501","과천선","정부과천청사","5502","5142","20200504",""
"20200501","과천선","과천","2904","2493","20200504",""
"20200501","과천선","대공원","4599","4804","20200504",""
"20200501","과천선","경마공원","660","647","20200504",""
"20200501","과천선","선바위","4385","4062","20200504",""
"20200501","공항철도 1호선","영종","2217","2296","20200504",""
"20200501","공항철도 1호선","인천공항2터미널","1471","1228","20200504",""
"20200501","공항철도 1호선","인천공항1터미널","3461","3535","20200504",""
"20200501","공항철도 1호선","공항화물청사","1327","1460","20200504",""
"20200501","공항철도 1호선","운서","4936","4979","20200504",""
"20200501","공항철도 1호선","청라국제도시","3071","2858","20200504",""
"20200501","공항철도 1호선","검암","4354","4322","20200504",""
"20200501","공항철도 1호선","계양","5394","4985","20200504",""
"20200501","공항철도 1호선","김포공항","6202","3774","20200504",""
