,ARS,지하철역
0,1001,종로3가(탑골공원)
1,1002,혜화
2,1003,혜화
3,1004,을지로3가
4,1005,한성대입구(삼선교)
5,1006,서대문
6,1007,서대문
7,1008,서대문
8,1009,광화문(세종문화회관)
9,1010,광화문(세종문화회관)
10,1011,종각
11,1012,종각
12,1013,종각
13,1014,종로3가(탑골공원)
14,1015,종로3가(탑골공원)
15,1016,종로3가
16,1017,종로3가
17,1018,종로3가
18,1019,종로5가
19,1020,종로5가
20,1021,종로5가
21,1022,종로5가
22,1023,동대문
23,1037,동대문
24,1041,동묘앞
25,1044,동묘앞
26,1101,경복궁(정부서울청사)
27,1102,경복궁(정부서울청사)
28,1103,경복궁(정부서울청사)
29,1104,경복궁(정부서울청사)
30,1105,경복궁(정부서울청사)
31,1106,무악재
32,1107,무악재
33,1108,경복궁(정부서울청사)
34,1109,경복궁(정부서울청사)
35,1110,경복궁(정부서울청사)
36,1111,경복궁(정부서울청사)
37,1112,경복궁(정부서울청사)
38,1113,경복궁(정부서울청사)
39,1114,경복궁(정부서울청사)
40,1115,경복궁(정부서울청사)
41,1116,경복궁(정부서울청사)
42,1117,광화문(세종문화회관)
43,1118,광화문(세종문화회관)
44,1120,광화문(세종문화회관)
45,1123,광화문(세종문화회관)
46,1124,광화문(세종문화회관)
47,1125,광화문(세종문화회관)
48,1126,광화문(세종문화회관)
49,1127,경복궁(정부서울청사)
50,1128,경복궁(정부서울청사)
51,1129,광화문(세종문화회관)
52,1130,안국
53,1131,안국
54,1132,녹번
55,1133,홍제
56,1134,홍제
57,1135,홍제
58,1136,홍제
59,1137,홍제
60,1138,무악재
61,1139,무악재
62,1140,홍제
63,1141,홍제
64,1142,홍제
65,1143,홍제
66,1144,홍제
67,1146,녹번
68,1148,녹번
69,1149,녹번
70,1150,녹번
71,1151,녹번
72,1152,녹번
73,1153,녹번
74,1154,녹번
75,1155,홍제
76,1156,홍제
77,1157,홍제
78,1158,홍제
79,1159,한성대입구(삼선교)
80,1160,한성대입구(삼선교)
81,1161,홍제
82,1162,홍제
83,1163,홍제
84,1164,홍제
85,1165,서대문
86,1167,독립문
87,1168,서대문
88,1169,서대문
89,1171,독립문
90,1172,안국
91,1173,종각
92,1174,종각
93,1175,을지로3가
94,1176,을지로4가
95,1177,종로5가
96,1198,종로5가
97,1199,안국
98,1200,안국
99,1201,종각
100,1202,종각
101,1203,안국
102,1204,종로5가
103,1205,종로5가
104,1212,종로5가
105,1213,종로5가
106,1214,동대문
107,1215,동대문
108,1217,동대문
109,1218,종로5가
110,1219,혜화
111,1220,혜화
112,1221,혜화
113,1222,혜화
114,1223,종로5가
115,1224,혜화
116,1225,종로5가
117,1226,혜화
118,1227,혜화
119,1228,혜화
120,1229,혜화
121,1231,동묘앞
122,1235,동묘앞
123,1236,동묘앞
124,1237,을지로3가
125,1238,창신
126,1239,창신
127,1240,동묘앞
128,1243,신설동
129,1245,동묘앞
130,1246,녹번
131,1247,을지로4가
132,1249,종로5가
133,1250,광화문(세종문화회관)
134,1251,종로3가
135,1252,동대문
136,1253,동대문
137,1254,동묘앞
138,1256,종로5가
139,1262,동묘앞
140,1267,종각
141,1272,광화문(세종문화회관)
142,1277,종로5가
143,1278,녹번
144,1279,독바위
145,1286,홍제
146,1287,홍제
147,1288,동대문
148,1289,신설동
149,1291,을지로3가
150,1292,동묘앞
151,1293,한성대입구(삼선교)
152,1294,안국
153,1295,안국
154,1296,안국
155,1297,종로3가(탑골공원)
156,1500,홍제
157,1501,안국
158,1502,경복궁(정부서울청사)
159,1503,한성대입구(삼선교)
160,1504,혜화
161,1505,서대문
162,1506,창신
163,1507,안국
164,1508,홍제
165,1509,안국
166,1510,경복궁(정부서울청사)
167,1511,한성대입구(삼선교)
168,1512,한성대입구(삼선교)
169,1513,홍제
170,1514,서대문
171,1515,혜화
172,1516,안국
173,1517,녹번
174,1518,안국
175,1519,경복궁(정부서울청사)
176,1520,한성대입구(삼선교)
177,1521,한성대입구(삼선교)
178,1522,녹번
179,1523,서대문
180,1524,창신
181,1525,안국
182,1526,안국
183,1528,종로5가
184,1529,안국
185,1530,경복궁(정부서울청사)
186,1531,혜화
187,1532,한성대입구(삼선교)
188,1533,녹번
189,1534,서대문
190,1535,창신
191,1536,안국
192,1537,안국
193,1538,녹번
194,1539,종로3가
195,1540,안국
196,1541,경복궁(정부서울청사)
197,1542,혜화
198,1543,혜화
199,1544,녹번
200,1545,독립문
201,1546,창신
202,1547,안국
203,1548,안국
204,1549,녹번
205,1550,종로3가
206,1551,안국
207,1552,경복궁(정부서울청사)
208,1553,녹번
209,1554,독립문
210,1555,창신
211,1556,안국
212,1557,종로3가(탑골공원)
213,1558,종로3가(탑골공원)
214,1561,녹번
215,1562,독립문
216,1563,창신
217,1564,안국
218,1565,녹번
219,1566,종로5가
220,1567,독바위
221,1568,독립문
222,1569,창신
223,1570,안국
224,1571,녹번
225,1572,종로5가
226,1573,독바위
227,1574,독립문
228,1576,안국
229,1577,녹번
230,1578,혜화
231,1580,녹번
232,1581,독립문
233,1582,창신
234,1583,안국
235,1584,녹번
236,1586,녹번
237,1587,독립문
238,1589,종로3가(탑골공원)
239,1590,녹번
240,1591,혜화
241,1592,혜화
242,1593,녹번
243,1594,독립문
244,1595,동묘앞
245,1596,종로3가(탑골공원)
246,1597,홍제
247,1598,혜화
248,1599,광화문(세종문화회관)
249,1607,녹번
250,1667,독립문
251,1682,동대문
252,1683,종각
253,1684,녹번
254,1685,경복궁(정부서울청사)
255,1686,종로5가
256,1697,혜화
257,1698,독바위
258,1699,경복궁(정부서울청사)
259,1702,종로5가
260,1714,홍제
261,1720,안국
262,1721,경복궁(정부서울청사)
263,1722,혜화
264,1723,독바위
265,1724,경복궁(정부서울청사)
266,1725,종로5가
267,1727,종각
268,1728,안국
269,1729,경복궁(정부서울청사)
270,1732,독바위
271,1733,혜화
272,1762,광화문(세종문화회관)
273,1763,종각
274,1766,종각
275,1767,종로3가
276,1768,종로3가
277,1769,종로3가
278,1771,종로5가
279,1776,경복궁(정부서울청사)
280,1777,경복궁(정부서울청사)
281,1778,경복궁(정부서울청사)
282,1779,안국
283,1780,안국
284,1781,안국
285,1782,혜화
286,1790,종로3가(탑골공원)
287,1791,녹번
288,1792,안국
289,1793,경복궁(정부서울청사)
290,1794,종로5가
291,1795,독바위
292,1796,경복궁(정부서울청사)
293,1797,종로5가
294,1798,안국
295,1799,홍제
296,1800,안국
297,1801,경복궁(정부서울청사)
298,1802,한성대입구(삼선교)
299,1803,경복궁(정부서울청사)
300,1804,종로5가
301,1805,안국
302,1807,안국
303,1809,한성대입구(삼선교)
304,1810,경복궁(정부서울청사)
305,1812,안국
306,1814,안국
307,1815,종로5가
308,1816,한성대입구(삼선교)
309,1817,독립문
310,1819,안국
311,1820,독립문
312,1821,무악재
313,1823,한성대입구(삼선교)
314,1824,독립문
315,1825,동묘앞
316,1826,안국
317,1827,안국
318,1829,무악재
319,1830,한성대입구(삼선교)
320,1831,서대문
321,1832,창신
322,1833,안국
323,1835,홍제
324,1836,한성대입구(삼선교)
325,1837,서대문
326,1839,안국
327,1840,홍제
328,1841,혜화
329,1842,한성대입구(삼선교)
330,1843,서대문
331,1844,창신
332,1845,안국
333,1846,홍제
334,1847,한성대입구(삼선교)
335,1848,한성대입구(삼선교)
336,1849,서대문
337,1850,창신
338,1851,안국
339,1852,한성대입구(삼선교)
340,1853,홍제
341,1855,창신
342,1856,안국
343,1858,한성대입구(삼선교)
344,1860,혜화
345,1861,홍제
346,1862,혜화
347,1863,홍제
348,1864,한성대입구(삼선교)
349,1865,녹번
350,1866,한성대입구(삼선교)
351,1868,녹번
352,1869,한성대입구(삼선교)
353,1870,녹번
354,1872,녹번
355,1873,녹번
356,1874,녹번
357,1875,홍제
358,1876,혜화
359,1877,혜화
360,1878,혜화
361,1879,종로5가
362,1881,혜화
363,1882,독립문
364,1883,혜화
365,1886,혜화
366,1887,혜화
367,1888,종각
368,1889,안국
369,1893,종각
370,1894,광화문(세종문화회관)
371,1901,동대문
372,1902,혜화
373,1903,혜화
374,1904,안국
375,1905,안국
376,1906,안국
377,1907,광화문(세종문화회관)
378,1910,경복궁(정부서울청사)
379,1911,광화문(세종문화회관)
380,1912,종각
381,1913,종로3가(탑골공원)
382,1914,종로3가
383,1915,종로5가
384,1916,동묘앞
385,1917,신설동
386,1918,경복궁(정부서울청사)
387,2001,을지로3가
388,2002,을지로3가
389,2003,서울역
390,2004,서울역
391,2005,서울역
392,2006,서울역
393,2007,서울역
394,2008,회현(남대문시장)
395,2100,을지로입구
396,2101,애오개
397,2102,서울역
398,2103,서울
399,2104,서울
400,2105,서울
401,2106,서울
402,2107,충정로(경기대입구)
