,표준버스정류장ID,지하철역
0,100000001,종로3가(탑골공원)
1,100000002,혜화
2,100000003,혜화
3,100000004,을지로3가
4,100000005,한성대입구(삼선교)
5,101000305,서대문
6,100000380,서대문
7,100000379,서대문
8,100000384,광화문(세종문화회관)
9,100000385,광화문(세종문화회관)
10,100000386,종각
11,100000387,종각
12,100000388,종각
13,100000389,종로3가(탑골공원)
14,100000390,종로3가(탑골공원)
15,100000391,종로3가
16,100000392,종로3가
17,100000393,종로3가
18,100000394,종로5가
19,100000395,종로5가
20,100000396,종로5가
21,100000397,종로5가
22,100000398,동대문
23,100000365,동대문
24,100000366,동묘앞
25,100000367,동묘앞
26,100000006,경복궁(정부서울청사)
27,100000007,경복궁(정부서울청사)
28,100000008,경복궁(정부서울청사)
29,100000009,경복궁(정부서울청사)
30,100000010,경복궁(정부서울청사)
31,100000011,무악재
32,100000012,무악재
33,100000013,경복궁(정부서울청사)
34,100000014,경복궁(정부서울청사)
35,100000015,경복궁(정부서울청사)
36,100000016,경복궁(정부서울청사)
37,100000017,경복궁(정부서울청사)
38,100000018,경복궁(정부서울청사)
39,100000019,경복궁(정부서울청사)
40,100000020,경복궁(정부서울청사)
41,100000021,경복궁(정부서울청사)
42,100000022,광화문(세종문화회관)
43,100000023,광화문(세종문화회관)
44,100000025,광화문(세종문화회관)
45,100000028,광화문(세종문화회관)
46,100000029,광화문(세종문화회관)
47,100000030,광화문(세종문화회관)
48,100000031,광화문(세종문화회관)
49,100000032,경복궁(정부서울청사)
50,100000033,경복궁(정부서울청사)
51,100000034,광화문(세종문화회관)
52,100000035,안국
53,100000036,안국
54,100000037,녹번
55,100000038,홍제
56,100000039,홍제
57,100000040,홍제
58,100000041,홍제
59,100000042,홍제
60,100000043,무악재
61,100000044,무악재
62,100000045,홍제
63,100000046,홍제
64,100000047,홍제
65,100000048,홍제
66,100000049,홍제
67,100000051,녹번
68,100000053,녹번
69,100000054,녹번
70,100000055,녹번
71,100000056,녹번
72,100000057,녹번
73,100000058,녹번
74,100000059,녹번
75,100000060,홍제
76,100000061,홍제
77,100000062,홍제
78,100000063,홍제
79,100000064,한성대입구(삼선교)
80,100000065,한성대입구(삼선교)
81,100000066,홍제
82,100000067,홍제
83,100000068,홍제
84,100000069,홍제
85,100000376,서대문
86,100000072,독립문
87,100000073,서대문
88,100000368,서대문
89,100000075,독립문
90,100000076,안국
91,100000077,종각
92,100000078,종각
93,100000079,을지로3가
94,100000080,을지로4가
95,100000081,종로5가
96,100000102,종로5가
97,100000103,안국
98,100000104,안국
99,100000105,종각
100,100000106,종각
101,100000107,안국
102,100000108,종로5가
103,100000109,종로5가
104,100000116,종로5가
105,100000117,종로5가
106,100000118,동대문
107,100000119,동대문
108,100000121,동대문
109,100000122,종로5가
110,100000123,혜화
111,100000124,혜화
112,100000125,혜화
113,100000126,혜화
114,100000127,종로5가
115,100000128,혜화
116,100000129,종로5가
117,100000130,혜화
118,100000131,혜화
119,100000132,혜화
120,100000133,혜화
121,100000135,동묘앞
122,100000139,동묘앞
123,100000140,동묘앞
124,101000307,을지로3가
125,100000142,창신
126,100000143,창신
127,100000144,동묘앞
128,100000147,신설동
129,100000364,동묘앞
130,100000150,녹번
131,100000151,을지로4가
132,100000153,종로5가
133,100000154,광화문(세종문화회관)
134,100000155,종로3가
135,100000156,동대문
136,100000157,동대문
137,100000158,동묘앞
138,100000159,종로5가
139,100000165,동묘앞
140,100000169,종각
141,100000174,광화문(세종문화회관)
142,100000179,종로5가
143,100000180,녹번
144,100000181,독바위
145,100000188,홍제
146,100000189,홍제
147,100000190,동대문
148,100000191,신설동
149,100000192,을지로3가
150,100000193,동묘앞
151,100000355,한성대입구(삼선교)
152,100000370,안국
153,100000369,안국
154,100000371,안국
155,100000413,종로3가(탑골공원)
156,100900047,홍제
157,100900178,안국
158,100900041,경복궁(정부서울청사)
159,100900040,한성대입구(삼선교)
160,100900197,혜화
161,100900044,서대문
162,100900039,창신
163,100900037,안국
164,100900036,홍제
165,100900035,안국
166,100900034,경복궁(정부서울청사)
167,100900032,한성대입구(삼선교)
168,100900031,한성대입구(삼선교)
169,100900029,홍제
170,100900188,서대문
171,100900202,혜화
172,100900026,안국
173,100900025,녹번
174,100900024,안국
175,100900020,경복궁(정부서울청사)
176,100900021,한성대입구(삼선교)
177,100900017,한성대입구(삼선교)
178,100900016,녹번
179,100900015,서대문
180,100900013,창신
181,100900045,안국
182,100900011,안국
183,100900009,종로5가
184,100900007,안국
185,100900005,경복궁(정부서울청사)
186,100900046,혜화
187,100900003,한성대입구(삼선교)
188,100900072,녹번
189,100900071,서대문
190,100900070,창신
191,100900069,안국
192,100900068,안국
193,100900067,녹번
194,100900066,종로3가
195,100900174,안국
196,100900065,경복궁(정부서울청사)
197,100900064,혜화
198,100900063,혜화
199,100900062,녹번
200,100900061,독립문
201,100900060,창신
202,100900059,안국
203,100900058,안국
204,100900182,녹번
205,100900057,종로3가
206,100900056,안국
207,100900055,경복궁(정부서울청사)
208,100900054,녹번
209,100900186,독립문
210,100900053,창신
211,100900052,안국
212,100900217,종로3가(탑골공원)
213,100900051,종로3가(탑골공원)
214,100900050,녹번
215,100900049,독립문
216,100900206,창신
217,100900048,안국
218,100900097,녹번
219,100900096,종로5가
220,100900095,독바위
221,100900094,독립문
222,100900093,창신
223,100900092,안국
224,100900091,녹번
225,100900090,종로5가
226,100900089,독바위
227,100900088,독립문
228,100900086,안국
229,100900184,녹번
230,100900085,혜화
231,100900083,녹번
232,100900082,독립문
233,100900207,창신
234,100900081,안국
235,100900080,녹번
236,100900079,녹번
237,100900187,독립문
238,100900078,종로3가(탑골공원)
239,100900077,녹번
240,100900076,혜화
241,100900075,혜화
242,100900074,녹번
243,100900073,독립문
244,100900205,동묘앞
245,100900121,종로3가(탑골공원)
246,100900120,홍제
247,100900198,혜화
248,100900176,광화문(세종문화회관)
249,100900119,녹번
250,100900118,독립문
251,100900117,동대문
252,100900116,종각
253,100900115,녹번
254,100900177,경복궁(정부서울청사)
255,100900195,종로5가
256,100900199,혜화
257,100900114,독바위
258,100900113,경복궁(정부서울청사)
259,100900192,종로5가
260,100900112,홍제
261,100900179,안국
262,100900111,경복궁(정부서울청사)
263,100900110,혜화
264,100900109,독바위
265,100900108,경복궁(정부서울청사)
266,100900107,종로5가
267,100900106,종각
268,100900105,안국
269,100900104,경복궁(정부서울청사)
270,100900103,독바위
271,100000360,혜화
272,100000329,광화문(세종문화회관)
273,100000330,종각
274,100000333,종각
275,100000334,종로3가
276,100000335,종로3가
277,100000336,종로3가
278,100000338,종로5가
279,100900102,경복궁(정부서울청사)
280,100000343,경복궁(정부서울청사)
281,100000344,경복궁(정부서울청사)
282,100000345,안국
283,100000346,안국
284,100000347,안국
285,100000348,혜화
286,100900101,종로3가(탑골공원)
287,100900180,녹번
288,100900100,안국
289,100900099,경복궁(정부서울청사)
290,100900191,종로5가
291,100900098,독바위
292,100900145,경복궁(정부서울청사)
293,100900143,종로5가
294,100900144,안국
295,100900142,홍제
296,100900141,안국
297,100900140,경복궁(정부서울청사)
298,100900139,한성대입구(삼선교)
299,100900138,경복궁(정부서울청사)
300,100900137,종로5가
301,100900189,안국
302,100900135,안국
303,100900134,한성대입구(삼선교)
304,100900133,경복궁(정부서울청사)
305,100900131,안국
306,100900129,안국
307,100900128,종로5가
308,100900127,한성대입구(삼선교)
309,100900126,독립문
310,100900125,안국
311,100900215,독립문
312,100900181,무악재
313,100900124,한성대입구(삼선교)
314,100900123,독립문
315,100900122,동묘앞
316,100900168,안국
317,100900167,안국
318,100900166,무악재
319,100900165,한성대입구(삼선교)
320,100900164,서대문
321,100900163,창신
322,100900162,안국
323,100900161,홍제
324,100900160,한성대입구(삼선교)
325,100900159,서대문
326,100900157,안국
327,100900156,홍제
328,100900200,혜화
329,100900155,한성대입구(삼선교)
330,100900154,서대문
331,100900210,창신
332,100900153,안국
333,100900152,홍제
334,100900151,한성대입구(삼선교)
335,100900150,한성대입구(삼선교)
336,100900149,서대문
337,100900148,창신
338,100900147,안국
339,100900201,한성대입구(삼선교)
340,100900146,홍제
341,100900173,창신
342,100900172,안국
343,100900171,한성대입구(삼선교)
344,100900203,혜화
345,100900170,홍제
346,100900169,혜화
347,100900002,홍제
348,100900004,한성대입구(삼선교)
349,100900006,녹번
350,100900008,한성대입구(삼선교)
351,100900010,녹번
352,100900012,한성대입구(삼선교)
353,100900014,녹번
354,100900018,녹번
355,100900019,녹번
356,100900022,녹번
357,100900023,홍제
358,100900027,혜화
359,100900028,혜화
360,100900030,혜화
361,100900033,종로5가
362,100900204,혜화
363,100900214,독립문
364,100900038,혜화
365,100900043,혜화
366,100900042,혜화
367,100900211,종각
368,100900213,안국
369,100000375,종각
370,100000374,광화문(세종문화회관)
371,100000399,동대문
372,100000407,혜화
373,100000408,혜화
374,100000409,안국
375,100000410,안국
376,100000411,안국
377,100000412,광화문(세종문화회관)
378,100000401,경복궁(정부서울청사)
379,100000402,광화문(세종문화회관)
380,101000313,종각
381,100000403,종로3가(탑골공원)
382,100000404,종로3가
383,100000405,종로5가
384,100000406,동묘앞
385,105000553,신설동
386,100000400,경복궁(정부서울청사)
387,101000001,을지로3가
388,101000002,을지로3가
389,101000003,서울역
390,101000004,서울역
391,101000005,서울역
392,101000006,서울역
393,101000007,서울역
394,101000008,회현(남대문시장)
395,101000303,을지로입구
396,101000009,애오개
397,101000010,서울역
398,101000011,서울
399,101000012,서울
400,101000013,서울
401,101000014,서울
402,101000015,충정로(경기대입구)
403,101000016,서울
404,101000017,서울
405,101000018,서대문
406,101000300,동대입구
407,101000020,서대문
408,101000021,서울
409,101000022,서울
410,101000023,회현(남대문시장)
411,101000025,서울역
412,101000026,회현(남대문시장)
413,101000027,회현(남대문시장)
414,101000028,회현(남대문시장)
415,101000029,회현(남대문시장)
416,101000030,회현(남대문시장)
417,101000031,회현(남대문시장)
418,101000032,회현(남대문시장)
419,101000033,시청
420,101000034,회현(남대문시장)
421,101000035,시청
422,101000036,시청
423,101000037,시청
424,101000038,시청
425,101000039,시청
426,101000040,을지로입구
427,101000041,을지로입구
428,101000042,을지로입구
429,101000043,을지로입구
430,101000045,명동
431,101000046,회현(남대문시장)
432,101000047,회현(남대문시장)
433,101000048,명동
434,101000049,명동
435,101000050,명동
436,101000051,명동
437,101000052,충무로
438,101000053,충무로
439,101000054,충무로
440,101000055,충무로
441,101000056,충무로
442,101000057,을지로입구
443,101000058,을지로입구
444,101000059,을지로3가
445,101000060,을지로3가
446,101000061,을지로3가
447,101000062,을지로3가
448,101000063,을지로4가
449,101000064,을지로4가
450,101000065,을지로4가
451,101000066,을지로4가
452,101000067,을지로4가
453,101000068,종로5가
454,101000069,동대문역사문화공원
455,101000070,동대문역사문화공원
456,101000071,동대문역사문화공원
457,101000072,동대문역사문화공원
458,101000073,동대문역사문화공원
459,101000074,동대문역사문화공원
460,101000075,동대문역사문화공원
461,101000077,동대문역사문화공원
462,101000078,신당
463,101000079,신당
464,101000080,신당
465,101000081,신당
466,101000082,신당
467,101000083,신당
468,101000084,신당
469,101000085,청구
470,101000086,청구
471,101000087,청구
472,101000088,청구
473,101000089,약수
474,101000090,약수
475,101000091,약수
476,101000092,약수
477,101000093,약수
478,101000094,약수
479,101000095,버티고개
480,101000096,버티고개
481,101000294,약수
482,101000097,동대입구
483,101000098,동대입구
484,101000099,동대입구
485,101000100,동대입구
486,101000101,동대입구
487,101000102,동대입구
488,101000103,충무로
489,101000104,을지로4가
490,101000105,버티고개
491,101000106,버티고개
492,101000107,청구
493,101000108,청구
494,101000109,청구
495,101000110,청구
496,101000111,회현(남대문시장)
497,101000113,서울역
498,101000114,회현(남대문시장)
499,101000115,명동
500,101000116,명동
501,101000117,동대입구
502,101000295,약수
503,101000119,종각
504,101000120,을지로3가
505,101000121,을지로4가
506,101000122,종로5가
507,101000123,종로5가
508,101000124,동대문
509,101000125,동묘앞
510,101000128,회현(남대문시장)
511,101000130,동대문역사문화공원
512,101000131,버티고개
513,101000132,버티고개
514,101000135,을지로4가
515,101000136,동대문
516,101000137,충무로
517,101000141,을지로입구
518,101000147,신당
519,101000148,을지로입구
520,101000149,버티고개
521,101000150,신금호
522,101000151,신금호
523,101000152,신당
524,101000153,신당
