,역명,지하철역
0,종로2가사거리,종로3가(탑골공원)
1,창경궁.서울대학교병원,혜화
2,명륜3가.성대입구,혜화
3,종로2가.삼일교,을지로3가
4,혜화동로터리.여운형활동터,한성대입구(삼선교)
5,서대문역사거리,서대문
6,서울역사박물관.경희궁앞,서대문
7,광화문,광화문(세종문화회관)
8,종로1가,종각
9,종로2가,종각
10,종로3가.탑골공원,종로3가(탑골공원)
11,종로4가.종묘,종로3가
12,종로5가.광장시장,종로5가
13,종로6가.동대문종합시장,종로5가
14,동대문역.흥인지문,동대문
15,동대문(흥인지문),동대문
16,동묘앞,동묘앞
17,경기상고,경복궁(정부서울청사)
18,신교동,경복궁(정부서울청사)
19,경복고교,경복궁(정부서울청사)
20,청운중학교,경복궁(정부서울청사)
21,자하문고개.윤동주문학관,무악재
22,통인시장종로구보건소,경복궁(정부서울청사)
23,효자동,경복궁(정부서울청사)
24,사직단.어린이도서관,경복궁(정부서울청사)
25,사직동주민센터,경복궁(정부서울청사)
26,경복궁역,경복궁(정부서울청사)
27,경복궁,광화문(세종문화회관)
28,KT광화문지사,광화문(세종문화회관)
29,서울역사박물관.경교장.강북삼성병원,광화문(세종문화회관)
30,광화문.금호아시아나본관앞,광화문(세종문화회관)
31,세종문화회관,광화문(세종문화회관)
32,서울지방경찰청.경복궁역,경복궁(정부서울청사)
33,사직단,경복궁(정부서울청사)
34,광화문광화문빌딩,광화문(세종문화회관)
35,덕성여중고,안국
36,안국역.종로경찰서.인사동,안국
37,국민은행세검정지점,녹번
38,세검정초등학교,홍제
39,세검정.상명대,홍제
40,상명대입구.석파랑,홍제
41,하림각,홍제
42,자하문터널입구.석파정,홍제
43,부암동주민센터.무계원,무악재
44,상명대입구.세검정교회,홍제
45,승가사입구,녹번
46,구기동현대빌라,녹번
47,구기터널.삼성출판박물관,녹번
48,구기동,녹번
49,갑을씨티텔앞,홍제
50,평창파출소,홍제
51,평창동주민센터,홍제
52,일성아파트,홍제
53,롯데아파트,한성대입구(삼선교)
54,벽산평창힐스아파트,홍제
55,예능교회,홍제
