기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020.2/4	합계	합계	4,384,076	9,985,652	4,859,501	5,126,151	9,720,846	4,732,275	4,988,571	264,806	127,226	137,580	2.21731	1,534,957
2020.2/4	종로구	소계	74,497	160,520	77,745	82,775	150,383	73,288	77,095	10,137	4,457	5,680	2.01865	28,203
2020.2/4	종로구	사직동	4,717	9,787	4,442	5,345	9,506	4,281	5,225	281	161	120	2.01526	1,836
2020.2/4	종로구	삼청동	1,370	2,973	1,427	1,546	2,707	1,301	1,406	266	126	140	1.97591	683
2020.2/4	종로구	부암동	4,346	10,421	4,953	5,468	10,050	4,769	5,281	371	184	187	2.31247	1,802
2020.2/4	종로구	평창동	7,517	18,696	8,752	9,944	18,519	8,671	9,848	177	81	96	2.46362	3,362
2020.2/4	종로구	무악동	3,203	8,691	4,043	4,648	8,645	4,023	4,622	46	20	26	2.69903	1,446
2020.2/4	종로구	교남동	4,595	10,686	4,962	5,724	10,534	4,890	5,644	152	72	80	2.29249	1,600
2020.2/4	종로구	가회동	2,074	4,453	2,069	2,384	4,354	2,015	2,339	99	54	45	2.09932	932
2020.2/4	종로구	종로1.2.3.4가동	5,232	8,526	5,010	3,516	7,248	4,349	2,899	1,278	661	617	1.38532	1,985
2020.2/4	종로구	종로5·6가동	3,406	5,800	3,148	2,652	5,323	2,887	2,436	477	261	216	1.56283	1,135
2020.2/4	종로구	이화동	4,463	8,336	3,841	4,495	7,774	3,661	4,113	562	180	382	1.74188	1,400
2020.2/4	종로구	창신1동	2,952	6,016	3,237	2,779	5,162	2,803	2,359	854	434	420	1.74864	1,245
2020.2/4	종로구	창신2동	4,137	9,654	4,930	4,724	8,394	4,315	4,079	1,260	615	645	2.02901	1,751
2020.2/4	종로구	창신3동	2,905	7,189	3,526	3,663	7,001	3,422	3,579	188	104	84	2.40998	1,240
2020.2/4	종로구	숭인1동	2,990	6,494	3,138	3,356	6,149	2,992	3,157	345	146	199	2.05652	1,192
2020.2/4	종로구	숭인2동	5,871	9,987	5,024	4,963	9,540	4,860	4,680	447	164	283	1.62494	1,697
2020.2/4	종로구	청운효자동	5,395	12,855	6,022	6,833	12,609	5,885	6,724	246	137	109	2.33716	2,220
2020.2/4	종로구	혜화동	9,324	19,956	9,221	10,735	16,868	8,164	8,704	3,088	1,057	2,031	1.80909	2,677
2020.2/4	중구	소계	63,354	136,030	66,545	69,485	126,092	61,697	64,395	9,938	4,848	5,090	1.99028	24,035
2020.2/4	중구	소공동	1,131	3,045	1,551	1,494	2,103	1,019	1,084	942	532	410	1.85942	295
2020.2/4	중구	회현동	3,083	5,814	3,113	2,701	5,203	2,783	2,420	611	330	281	1.68764	1,522
2020.2/4	중구	명동	1,589	3,693	1,647	2,046	2,992	1,271	1,721	701	376	325	1.88295	791
2020.2/4	중구	필동	2,338	4,837	2,432	2,405	3,982	2,049	1,933	855	383	472	1.70317	847
2020.2/4	중구	장충동	2,761	5,528	2,738	2,790	4,697	2,376	2,321	831	362	469	1.7012	822
2020.2/4	중구	광희동	3,075	6,463	3,401	3,062	5,034	2,659	2,375	1,429	742	687	1.63707	1,217
2020.2/4	중구	을지로동	1,358	1,993	1,193	800	1,817	1,102	715	176	91	85	1.338	510
2020.2/4	중구	신당5동	5,363	11,002	5,341	5,661	10,644	5,189	5,455	358	152	206	1.98471	1,782
2020.2/4	중구	황학동	6,935	13,721	6,567	7,154	12,712	6,092	6,620	1,009	475	534	1.83302	1,970
2020.2/4	중구	중림동	5,860	12,896	6,464	6,432	12,577	6,293	6,284	319	171	148	2.14625	2,074
2020.2/4	중구	신당동	4,515	9,206	4,500	4,706	7,567	3,756	3,811	1,639	744	895	1.67597	1,402
2020.2/4	중구	다산동	6,991	14,956	7,230	7,726	14,454	7,027	7,427	502	203	299	2.06752	2,641
2020.2/4	중구	약수동	7,828	17,579	8,287	9,292	17,377	8,180	9,197	202	107	95	2.21985	3,707
2020.2/4	중구	청구동	6,359	14,354	6,819	7,535	14,150	6,715	7,435	204	104	100	2.22519	2,643
2020.2/4	중구	동화동	4,168	10,943	5,262	5,681	10,783	5,186	5,597	160	76	84	2.58709	1,812
2020.2/4	용산구	소계	111,586	245,362	119,494	125,868	229,431	110,527	118,904	15,931	8,967	6,964	2.05609	39,650
2020.2/4	용산구	후암동	8,594	18,354	8,955	9,399	17,807	8,666	9,141	547	289	258	2.07203	3,073
2020.2/4	용산구	용산2가동	5,427	11,626	5,662	5,964	10,247	4,932	5,315	1,379	730	649	1.88815	2,110
2020.2/4	용산구	남영동	5,450	8,268	5,024	3,244	7,736	4,752	2,984	532	272	260	1.41945	1,632
2020.2/4	용산구	원효로2동	6,018	14,491	6,820	7,671	14,338	6,760	7,578	153	60	93	2.38252	2,396
2020.2/4	용산구	효창동	4,329	10,387	4,945	5,442	10,259	4,874	5,385	128	71	57	2.36983	1,453
2020.2/4	용산구	용문동	5,412	12,510	5,972	6,538	12,380	5,910	6,470	130	62	68	2.28751	2,078
2020.2/4	용산구	이촌1동	10,356	29,329	13,761	15,568	28,486	13,318	15,168	843	443	400	2.75068	4,527
2020.2/4	용산구	이촌2동	3,848	8,887	4,189	4,698	8,793	4,146	4,647	94	43	51	2.28508	1,778
2020.2/4	용산구	이태원1동	3,839	9,153	4,789	4,364	6,899	3,273	3,626	2,254	1,516	738	1.79708	1,614
2020.2/4	용산구	이태원2동	4,955	10,826	5,109	5,717	9,283	4,292	4,991	1,543	817	726	1.87346	1,912
